Site,Total number of participants
BGC-HH - Kiwanis Club,28
BGC-HH - Kiwanis Club,28
BGC-HH - Kiwanis Club,30
BGC-HH - Kiwanis Club,25
BGC-HH - Kiwanis Club,22
BGC-HH - Prince of Wales,17
BGC-HH - Prince of Wales,20
BGC-HH - Prince of Wales,29
BGC-HH - Prince of Wales,17
BGC-HH - Prince of Wales,16
BGC-HH - Queen Mary,24
BGC-HH - Queen Mary,21
BGC-HH - Queen Mary,23
BGC-HH - Queen Mary,19
BGC-HH - Queen Mary,24
BGC-HH - Viscount,20
BGC-HH - Viscount,22
BGC-HH - Viscount,22
BGC-HH - Viscount,24
BGC-HH - Viscount,24
BGC-HH - Viscount,23
EarlyON (BGC) - Ellis Avenue,24
EarlyON (BGC) - Ellis Avenue,18
EarlyON (BGC) - Ellis Avenue,12
EarlyON (BGC) - Green Venture,7
EarlyON (BGC) - Green Venture,5
EarlyON (BGC) - Green Venture,1
EarlyON (BGC) - Green Venture,9
EarlyON (BGC) - Green Venture,10
EarlyON (Centre de Santé) - Barton,5
EarlyON (Centre de Santé) - Barton,30
EarlyON (Centre de Santé) - Barton,7
EarlyON (Centre de Santé) - Barton,8
EarlyON (Centre de Santé) - Gage Park,13
EarlyON (Centre de Santé) - Gage Park,7
EarlyON (Centre de Santé) - Gage Park,17
EarlyON (Centre de Santé) - Gage Park,20
EarlyON (Centre de Santé) - Gage Park,15
EarlyON (Heritage Green) - St. James,5
EarlyON (Heritage Green) - St. James,12
EarlyON (Heritage Green) - St. James,10
EarlyON (Heritage Green) - St. James,21
EarlyON (Heritage Green) - St. James,15
EarlyON (Heritage Green) - St. James,20
EarlyON (Heritage Green) - St. James,10
EarlyON (Heritage Green) - St. James,6
EarlyON (Heritage Green) - St. James,20
EarlyON (Heritage Green) - St. James,20
EarlyON (HWCCCC) - St. Patrick's,4
EarlyON (HWCCCC) - St. Patrick's,5
EarlyON (HWCCCC) - St. Patrick's,10
EarlyON (HWCCCC) - St. Patrick's,2
EarlyON (HWCCCC) - St. Patrick's,5
EarlyON (HWCCCC) - Winona,5
EarlyON (HWCCCC) - Winona,5
EarlyON (HWCCCC) - Winona,1
EarlyON (HWCCCC) - Winona,2
EarlyON (HWCCCC) - Winona,4
EarlyON (HWCCCC) - Winona,7
EarlyON (Niwasa) - Niwasa,19
EarlyON (Niwasa) - Niwasa,16
EarlyON (Niwasa) - Niwasa,9
EarlyON (Today's Family) - Fieldcote,20
EarlyON (Today's Family) - Fieldcote,10
EarlyON (Today's Family) - Fieldcote,14
EarlyON (Today's Family) - Fieldcote,7
EarlyON (Today's Family) - Fieldcote,7
EarlyON (Today's Family) - Helen Detweiler,4
EarlyON (Today's Family) - Helen Detweiler,5
