Artist Educator,Participation,EarlyON,Site,Partner Org,Address,Title,Link,Photo link,GPS
Ace Martin,133,FALSE,Kiwanis Club,BGC Hamilton Halton,"45 Ellis Ave, Hamilton ",Keep Adding,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/bgc-hamilton-halton/kiwanis-club/,https://artsforall.co/wp-content/uploads/2025/08/03467994-A76C-423A-9BFA-F2E51E12DA66-1152x1536.jpg,"43.248469423364355, -79.81077067570982"
Ace Martin ,99,FALSE,Prince of Wales,BGC Hamilton Halton,"77 Melrose Ave N, Hamilton ",Fort of Colour,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/bgc-hamilton-halton/prince-of-wales/,https://artsforall.co/wp-content/uploads/2025/08/5A3CB2ED-05D8-471E-A38D-7644CF324C341-1152x1536.jpg,"43.25249507156775, -79.83204157570965"
Ace Martin ,111,FALSE,Queen Mary,BGC Hamilton Halton,"1292 Cannon St E, Hamilton",Tinfoil Restaurant,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/bgc-hamilton-halton/queen-mary/,https://artsforall.co/wp-content/uploads/2025/08/20250711_140829-1024x768.jpg,"43.24585140491154, -79.8134616892027"
Ace Martin ,135,FALSE,Viscount,BGC Hamilton Halton,"1525 Lucerne Ave, Hamilton ",Post Painting Circle ,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/bgc-hamilton-halton/viscount/,https://artsforall.co/wp-content/uploads/2025/08/F44CC808-AFEF-492A-ADA9-B3C1AAF646E9-1152x1536.jpg,"43.2323204649863, -79.79678456803902"
Kento C,54,TRUE,Ellis,BGC Hamilton Halton,"45 Ellis Ave, Hamilton ","Understanding, Energy, and the Senses Through Artistic Play",https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/bgc-ellis-earlyon/,https://artsforall.co/wp-content/uploads/2025/08/IMG_1295-700x700.jpeg,"43.248469423364355, -79.81077067570982"
Naseem Anvari,50,TRUE,Centre de Santé Barton,Centre de Santé,"1320 Barton St. E, Hamilton ",The Minute Details,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/centre-de-sante-barton/,https://artsforall.co/wp-content/uploads/2025/08/Centre-de-Sante-Barton-700x700.jpg,"43.24915767024441, -79.80652350846276"
Naseem Anvari,72,TRUE,Centre de Santé Gage Park,Centre de Santé,"1000 Main St. E, Hamilton ",A Growing Patchwork,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/centre-de-sante-gage-park/,https://artsforall.co/wp-content/uploads/2025/08/Centre-de-Sante-Gage-700x700.jpg,"43.243015589277114, -79.82835173307485"
Noor Butt,51,TRUE,Dominic Agostino Riverdale,Wesley Urban Ministries,"150 Violet Drive, Hamilton","Culture, Community, and Creativity - Building Friendships Through Art",https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/dominic-agostino-riverdale/,https://artsforall.co/wp-content/uploads/2025/08/IMG_20250711_110437-700x700.jpg,"43.23248515932756, -79.7569344321609"
Emma Daw,58,TRUE,Fieldcote,Today’s Family Early Learning and Child Care,"64 Sulphur Springs Rd, Ancaster ",Giving Our Energy to Others,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/fieldcote/,https://artsforall.co/wp-content/uploads/2025/08/IMG_1443-700x700.jpg,"43.226224806555045, -79.98010107902256"
Naseem Anvari,32,TRUE,Green Venture,BGC Hamilton Halton,"22 Veevers Drive, Hamilton",Bring on the Chaos!,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/green-venture/,https://artsforall.co/wp-content/uploads/2025/08/Green-Venture-1-700x700.jpg,"43.21092603476395, -79.7857860893623"
